Rank,Product,Team,Year,Product_Category,Sales_Engineer,BKS_Sales,KWG_Sales,TNG_Sales,BGR_Sales,Total_Sales
1,Wii Sports,TMSales1,2006.0,Air Cylinders,Bayu,41.49,29.02,3.77,8.46,82.74
2,Super Mario Bros.,TMSales2,1985.0,Electric Actuators,Bayu,29.08,3.58,6.81,0.77,40.24
3,Mario Kart Wii,TMSales1,2008.0,Switches/Sensors,Bayu,15.85,12.88,3.79,3.31,35.82
4,Wii Sports Resort,TMSales1,2009.0,Air Cylinders,Bayu,15.75,11.01,3.28,2.96,33.0
5,Pokemon Red/Pokemon Blue,TMSales3,1996.0,Fittings/Tubing,Bayu,11.27,8.89,10.22,1.0,31.37
6,Tetris,TMSales3,1989.0,Air Preparation,Bayu,23.2,2.26,4.22,0.58,30.26
7,New Super Mario Bros.,TMSales4,2006.0,Electric Actuators,Bayu,11.38,9.23,6.5,2.9,30.01
8,Wii Play,TMSales1,2006.0,Vacuum Equipment,Bayu,14.03,9.2,2.93,2.85,29.02
9,New Super Mario Bros. Wii,TMSales1,2009.0,Electric Actuators,Bayu,14.59,7.06,4.7,2.26,28.62
10,Duck Hunt,TMSales2,1984.0,Rotary Actuators,Bayu,26.93,0.63,0.28,0.47,28.31
11,Nintendogs,TMSales4,2005.0,Flow Control,Bayu,9.07,11.0,1.93,2.75,24.76
12,Mario Kart DS,TMSales4,2005.0,Switches/Sensors,Bayu,9.81,7.57,4.13,1.92,23.42
13,Pokemon Gold/Pokemon Silver,TMSales3,1999.0,Fittings/Tubing,Bayu,9.0,6.18,7.2,0.71,23.1
14,Wii Fit,TMSales1,2007.0,Air Cylinders,Bayu,8.94,8.03,3.6,2.15,22.72
15,Wii Fit Plus,TMSales1,2009.0,Air Cylinders,Bayu,9.09,8.59,2.53,1.79,22.0
16,Kinect Adventures!,TMSales5,2010.0,Vacuum Equipment,Agus,14.97,4.94,0.24,1.67,21.82
17,Grand Theft Auto V,TMSales6,2013.0,Directional Control Valves,Faisal,7.01,9.27,0.97,4.14,21.4
18,Grand Theft Auto: San Andreas,TMSales7,2004.0,Directional Control Valves,Faisal,9.43,0.4,0.41,10.57,20.81
19,Super Mario World,TMSales8,1990.0,Electric Actuators,Bayu,12.78,3.75,3.54,0.55,20.61
20,Brain Age: Train Your Brain in Minutes a Day,TMSales4,2005.0,Vacuum Equipment,Bayu,4.75,9.26,4.16,2.05,20.22
21,Pokemon Diamond/Pokemon Pearl,TMSales4,2006.0,Fittings/Tubing,Bayu,6.42,4.52,6.04,1.37,18.36
22,Super Mario Land,TMSales3,1989.0,Electric Actuators,Bayu,10.83,2.71,4.18,0.42,18.14
23,Super Mario Bros. 3,TMSales2,1988.0,Electric Actuators,Bayu,9.54,3.44,3.84,0.46,17.28
24,Grand Theft Auto V,TMSales5,2013.0,Directional Control Valves,Faisal,9.63,5.31,0.06,1.38,16.38
25,Grand Theft Auto: Vice City,TMSales7,2002.0,Directional Control Valves,Faisal,8.41,5.49,0.47,1.78,16.15
26,Pokemon Ruby/Pokemon Sapphire,TMSales9,2002.0,Fittings/Tubing,Bayu,6.06,3.9,5.38,0.5,15.85
27,Pokemon Black/Pokemon White,TMSales4,2010.0,Fittings/Tubing,Bayu,5.57,3.28,5.65,0.82,15.32
28,Brain Age 2: More Training in Minutes a Day,TMSales4,2005.0,Air Preparation,Bayu,3.44,5.36,5.32,1.18,15.3
29,Gran Turismo 3: A-Spec,TMSales7,2001.0,Switches/Sensors,Ferdi,6.85,5.09,1.87,1.16,14.98
30,Call of Duty: Modern Warfare 3,TMSales5,2011.0,Rotary Actuators,Febby,9.03,4.28,0.13,1.32,14.76
31,Pokémon Yellow: Special Pikachu Edition,TMSales3,1998.0,Fittings/Tubing,Bayu,5.89,5.04,3.12,0.59,14.64
32,Call of Duty: Black Ops,TMSales5,2010.0,Rotary Actuators,Febby,9.67,3.73,0.11,1.13,14.64
33,Pokemon X/Pokemon Y,TMSales10,2013.0,Fittings/Tubing,Bayu,5.17,4.05,4.34,0.79,14.35
34,Call of Duty: Black Ops 3,TMSales11,2015.0,Rotary Actuators,Febby,5.77,5.81,0.35,2.31,14.24
35,Call of Duty: Black Ops II,TMSales6,2012.0,Rotary Actuators,Febby,4.99,5.88,0.65,2.52,14.03
36,Call of Duty: Black Ops II,TMSales5,2012.0,Rotary Actuators,Febby,8.25,4.3,0.07,1.12,13.73
37,Call of Duty: Modern Warfare 2,TMSales5,2009.0,Rotary Actuators,Febby,8.52,3.63,0.08,1.29,13.51
38,Call of Duty: Modern Warfare 3,TMSales6,2011.0,Rotary Actuators,Febby,5.54,5.82,0.49,1.62,13.46
39,Grand Theft Auto III,TMSales7,2001.0,Directional Control Valves,Faisal,6.99,4.51,0.3,1.3,13.1
40,Super Smash Bros. Brawl,TMSales1,2008.0,FRL,Bayu,6.75,2.61,2.66,1.02,13.04
41,Call of Duty: Black Ops,TMSales6,2010.0,Rotary Actuators,Febby,5.98,4.44,0.48,1.83,12.73
42,Animal Crossing: Wild World,TMSales4,2005.0,Flow Control,Bayu,2.55,3.52,5.33,0.88,12.27
43,Mario Kart 7,TMSales10,2011.0,Switches/Sensors,Bayu,4.74,3.91,2.67,0.89,12.21
44,Halo 3,TMSales5,2007.0,Rotary Actuators,Agus,7.97,2.83,0.13,1.21,12.14
45,Grand Theft Auto V,TMSales11,2014.0,Directional Control Valves,Faisal,3.8,5.81,0.36,2.02,11.98
46,Pokemon HeartGold/Pokemon SoulSilver,TMSales4,2009.0,Directional Control Valves,Bayu,4.4,2.77,3.96,0.77,11.9
47,Super Mario 64,TMSales12,1996.0,Electric Actuators,Bayu,6.91,2.85,1.91,0.23,11.89
48,Gran Turismo 4,TMSales7,2004.0,Switches/Sensors,Ferdi,3.01,0.01,1.1,7.53,11.66
49,Super Mario Galaxy,TMSales1,2007.0,Electric Actuators,Bayu,6.16,3.4,1.2,0.76,11.52
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,TMSales10,2014.0,Fittings/Tubing,Bayu,4.23,3.37,3.08,0.65,11.33
51,Super Mario Land 2: 6 Golden Coins,TMSales3,1992.0,Lubrication,Bayu,6.16,2.04,2.69,0.29,11.18
52,Grand Theft Auto IV,TMSales5,2008.0,Directional Control Valves,Faisal,6.76,3.1,0.14,1.03,11.02
